dataid,prediction
1, 2000.0653926297862 
2, 2004.2418171267796 
3, 2001.9933783676279 
4, 2005.7009185921165 
5, 2005.3376963820808 
6, 2000.7584487081144 
7, 2002.953468473844 
8, 2000.7762144585233 
9, 1998.664014088078 
10, 2003.3907413792444 
11, 2006.7519168903052 
12, 2007.0579292587702 
13, 2004.0912243103644 
14, 2005.4742722932547 
15, 2005.486988859613 
16, 2004.1769078375025 
17, 2007.58178609685 
18, 2004.19399907858 
19, 2008.2242291063624 
20, 2007.148184864446 
21, 2007.569820893923 
22, 2005.105119644991 
23, 2005.7262230931467 
24, 2008.8917319396246 
25, 2004.7028872801209 
26, 2000.4120786380386 
27, 2008.0037744714587 
28, 2007.1432503066508 
29, 2001.3486378678667 
30, 2003.0740899219568 
31, 2003.8933686387886 
32, 1999.841858928171 
33, 2002.521420581207 
34, 1995.427000324251 
35, 2001.3400958117925 
36, 1998.3169845329433 
37, 2001.39950601885 
38, 2004.497089879876 
39, 2003.7132913063983 
40, 1998.6345956474886 
41, 2008.4865885704294 
42, 2007.696875115953 
43, 2007.267984794571 
44, 1999.4100870268248 
45, 2007.3577433516548 
46, 2005.8202363177722 
47, 2006.9618913678219 
48, 2004.971989111958 
49, 2006.8635447672784 
50, 2008.1036739406957 
51, 2003.384411529727 
52, 2006.161933212158 
53, 2005.6255541594724 
54, 2006.8790990618324 
55, 2005.7981134227055 
56, 2008.6466082706238 
57, 2003.9331407535371 
58, 2006.4985172553313 
59, 2007.6267291980457 
60, 2006.8714296837916 
61, 2005.6241129549712 
62, 2008.5466751771712 
63, 2006.5690631559896 
64, 2006.5364580390321 
65, 1999.989686339059 
66, 2007.6562386569506 
67, 2005.581362330094 
68, 2006.0673331669377 
69, 2002.7480804004158 
70, 2005.8048917109213 
71, 1993.0887954262153 
72, 1982.9911938398982 
73, 1997.3912429806248 
74, 1999.4050549260546 
75, 2000.6248284067485 
76, 2003.271207463831 
77, 1997.9452256363902 
78, 2004.1461329051094 
79, 2004.903740852702 
80, 2003.1844935101385 
81, 2004.824719324454 
82, 2003.4304789172706 
83, 2003.628704248087 
84, 2003.4151772153393 
85, 2003.6097432989673 
86, 2004.8030020786766 
87, 2001.7663122626514 
88, 1997.2327634617973 
89, 2001.954957164083 
90, 2000.1811747017036 
91, 2002.0069134485125 
92, 1987.4630007204773 
93, 1994.9841205781142 
94, 1988.7660443616714 
95, 1992.95183103895 
96, 1992.9800152792736 
97, 1991.4073789927259 
98, 1993.5085410215627 
99, 1991.4671710019313 
100, 2001.7189720787148 
101, 1995.4422275947577 
102, 2001.3449603134045 
103, 2003.4100601032314 
104, 1995.5061060452203 
105, 2003.3834217137623 
106, 2004.747223833544 
107, 1998.6458757872917 
108, 1999.0664538267406 
109, 1996.9304921797413 
110, 1994.510280889239 
111, 2000.4276929927337 
