dataid,prediction
1, 1994.1377086622524 
2, 2004.3762937881238 
3, 1999.3229255744259 
4, 2003.7529353670034 
5, 2002.4750196516036 
6, 2000.1886810275319 
7, 2002.4631291745231 
8, 2000.6887724284356 
9, 1998.4254834240323 
10, 2002.3413149863136 
11, 2004.71980632711 
12, 2004.1606271675237 
13, 2002.3868728245795 
14, 2003.341451244384 
15, 2002.122676351784 
16, 2004.2301567435973 
17, 2001.4765173935887 
18, 2001.3460302361261 
19, 2004.4803289204747 
20, 2003.0290269479842 
21, 2004.1025420221197 
22, 2003.321526905547 
23, 2001.9653176460786 
24, 2004.6210818556087 
25, 2003.337663485652 
26, 2001.7761243873524 
27, 2002.9468317653182 
28, 2005.235794835455 
29, 1998.174884477067 
30, 2000.9504090881776 
31, 2000.992846748764 
32, 2000.2308545722983 
33, 1997.7001508998394 
34, 1993.7164744079441 
35, 2000.2764722891486 
36, 1999.8674860091598 
37, 1996.1454963041178 
38, 2002.7646795049718 
39, 2003.2093550341901 
40, 1997.4220760212013 
41, 2005.338800896739 
42, 2005.3012999019454 
43, 2005.5234030549027 
44, 1998.3528092553513 
45, 2003.8296640024691 
46, 2005.3035661724382 
47, 2001.8475877824865 
48, 2003.488491460767 
49, 2006.201876229413 
50, 2006.0829542815657 
51, 2002.6482737642966 
52, 2004.5778493250846 
53, 2005.5636796078993 
54, 2007.814284508766 
55, 2007.374646140887 
56, 2006.0694228566606 
57, 2007.1005490970242 
58, 2006.7212019874466 
59, 2004.637849635638 
60, 2004.3944242313116 
61, 2003.8561863571097 
62, 2006.15467853512 
63, 2004.172295702594 
64, 2005.440108746146 
65, 2001.456158695472 
66, 2005.9658779472081 
67, 2005.84677111469 
68, 2006.1549609208857 
69, 2005.8516750156725 
70, 1997.447055267961 
71, 1990.1293767066263 
72, 1987.4525396825393 
73, 1997.4954058278308 
74, 1994.6073876401372 
75, 1989.5916210847975 
76, 2001.6626231410085 
77, 1993.7161959339116 
78, 2000.003070900008 
79, 2003.2562745744522 
80, 2000.276393631158 
81, 2001.4134376445093 
82, 2000.1565362003792 
83, 1997.7650960428455 
84, 2003.892798401429 
85, 2004.6172755936484 
86, 2003.5877915577369 
87, 2003.4105032288426 
88, 1997.2535837495843 
89, 1999.4931811452445 
90, 2002.9587145991434 
91, 1991.4021931818183 
92, 1987.79649059274 
93, 1997.9023101177172 
94, 1987.4436675358966 
95, 1995.225302690365 
96, 1992.3436301337556 
97, 1992.790284257409 
98, 1994.2246387724115 
99, 1991.047890706516 
100, 2001.2639848073493 
101, 2000.2448458004835 
102, 2001.8033223370583 
103, 2000.9458062401766 
104, 1994.994825126263 
105, 2002.0224759433459 
106, 2002.0032013808557 
107, 1997.2910394024836 
108, 1999.5542104131982 
109, 1992.8951090743951 
110, 1993.177344321528 
111, 2000.5268593186515 
112, 1999.4040917207783 
113, 1999.543361852609 
114, 1995.8804383967652 
115, 1999.9279151447547 
116, 1993.963256673882 
117, 1998.742246031746 
118, 1999.7820761753837 
119, 1993.7613520923521 
120, 1997.5858985516124 
121, 1999.4590389801338 
122, 1998.2842234205643 
123, 1987.5795916305922 
124, 1986.6908575498805 
125, 1987.091176157177 
126, 1986.852215430404 
127, 1987.8778406332224 
128, 1997.1957195582197 
129, 1987.5051255313324 
130, 2003.1775943617345 
131, 2003.9163348192158 
132, 2001.486626981316 
133, 2003.334902651843 
134, 2000.9583044504936 
135, 2000.9588891601315 
136, 2002.2234047869636 
137, 2003.1155526035107 
138, 2002.5830026286412 
139, 2000.6541390623668 
140, 2004.1943445624638 
141, 2004.6662024266398 
142, 2001.795240836925 
143, 2003.7872150443768 
144, 2002.480515473111 
145, 2001.4350978555176 
146, 1997.857465918029 
147, 2002.1469892683394 
148, 1999.4573073138477 
149, 2001.3873921299592 
150, 2003.2627422518972 
151, 2001.3072484937447 
152, 2004.3070730630184 
153, 1998.1402261641133 
154, 2001.0567589187128 
155, 2002.7976124724364 
156, 2000.715061456315 
157, 1999.049544049713 
158, 2003.1382781665075 
159, 1997.9035533138365 
160, 2002.1353474705857 
161, 2003.2516521926102 
162, 2004.2520014566842 
163, 1998.9598312882022 
164, 1993.6528528138526 
165, 2004.0908145717704 
166, 2003.1111414178367 
167, 2003.618604272269 
168, 1994.4830634451343 
169, 2004.8912903207467 
170, 2000.3748250805572 
171, 2001.9553019715306 
172, 2003.5218415530046 
173, 2003.5327897340235 
174, 2002.0076883690217 
175, 2004.0120557213568 
176, 2003.4931051178448 
177, 2004.2262911043758 
178, 2003.2440197531078 
179, 2002.4361698826533 
180, 2003.0276101914078 
181, 2003.7089122881616 
182, 2002.7110770410225 
183, 2000.5298651840565 
184, 2004.2586701634707 
185, 2002.710701837408 
186, 2003.9392721810852 
187, 2002.2064220194586 
188, 2003.9159511416872 
189, 2004.243199480398 
190, 2001.7394862450499 
191, 2003.1737631956703 
192, 1996.9379685175936 
193, 2002.11006319476 
194, 1999.4149863592293 
195, 1999.3620249542118 
196, 1996.8579146825393 
